,Longitude,Latitude
378,-73.96632353,40.79451509
379,-73.90594503,40.71541369
380,-73.98678967,40.76135734
381,-73.93383168,40.7748597
382,-73.92891794,40.74426933
383,-73.98616772,40.74912119
384,-73.90308456,40.70045509
385,-73.9529331,40.78759917
386,-73.98404984,40.7614311
387,-73.99905929,40.76202781
388,-73.97974574,40.71803315
389,-73.95056655,40.77950395
390,-73.99394968,40.74133501
391,-73.98054211,40.78278189
392,-73.9161277,40.74177672
393,-73.90993994,40.77560654
394,-73.99080141,40.72598064
395,-73.99523109,40.73669095
396,-73.91410949,40.76770487
397,-73.91410949,40.76770487
398,-73.94719978,40.79966526
399,-73.9775306,40.71854052
400,-73.90879856,40.74429633
401,-73.99737762,40.74936627
402,-73.99555651,40.72687846
403,-73.92826559,40.73677575
404,-73.98979364,40.75724053
405,-73.96478615,40.79916969
406,-73.9380122,40.70164573
407,-73.93223916,40.76095665
408,-73.99369051,40.73430568
409,-73.95074921,40.73269788
410,-73.98508648,40.75859592
411,-73.90588965,40.70865604
412,-73.97970378,40.73734525
413,-73.97902801,40.76340651
414,-73.99879292,40.71992332
415,-73.99879292,40.71992332
416,-73.94119982,40.79634124
417,-73.93378879,40.79621371
418,-73.9463545,40.75497231
419,-73.96540193,40.79578014
420,-73.91085695,40.75947365
421,-73.96635808,40.76187469
422,-73.91268515,40.72237423
423,-73.99903466,40.71800474
424,-73.97625544,40.723393
425,-73.98752578,40.76289723
426,-73.96026265,40.71091914
427,-73.94761921,40.79908632
428,-73.94339807,40.78931583
429,-73.91010152,40.75220223
430,-73.93375424,40.79827223
431,-73.96779871,40.75375615
432,-73.9880689,40.77388174
433,-73.99914274,40.72906337
434,-73.99322319,40.7525308
435,-73.98610723,40.76229871
436,-73.9443759,40.70385852
437,-73.95002541,40.70669645
438,-73.97652673,40.7623548
439,-73.98496256,40.76386581
440,-73.98038822,40.71681459
441,-73.97625544,40.723393
442,-73.97516536,40.72488592
443,-73.93628063,40.77379337
444,-73.93906265,40.79926052
445,-73.96797272,40.78970954
446,-73.95806183,40.78054992
447,-73.94870572,40.72023853
448,-73.99114645,40.73586728
449,-73.98707082,40.76352298
450,-73.94498434,40.79259106
451,-73.98149123,40.73283043
452,-73.97625544,40.723393
453,-73.90313188,40.74731642
454,-73.99488345,40.75279713
455,-73.99310985,40.73167343
456,-73.98979364,40.75724053
457,-73.90396451,40.70297827
458,-73.94971942,40.79199762
459,-73.93241787,40.70222447
460,-73.96753506,40.76891804
461,-73.94327534,40.79349599
462,-73.98057951,40.71646329
463,-73.91228513,40.76042718
464,-73.94676969,40.71870882
465,-73.99508788,40.72147127
466,-73.94119982,40.79634124
467,-73.99275614,40.76591415
468,-73.97833097,40.77551618
469,-73.93956333,40.75699457
470,-73.98250315,40.75417103
471,-73.96406824,40.79762144
472,-73.98038822,40.71681459
473,-73.98182658,40.77330453
474,-73.97688602,40.78803464
475,-73.94719978,40.79966526
476,-73.94988562,40.71033595
477,-73.98320947,40.75861762
478,-73.99493316,40.76355927
479,-73.94154039,40.70051124
480,-73.95358841,40.79035789
481,-73.99003833,40.73815082
482,-73.97690598,40.78255615
483,-73.98205978,40.77880502
484,-73.90294077,40.74472247
485,-73.9684437,40.79415339
486,-73.98507186,40.75940013
487,-73.98618869,40.76983029
488,-73.9358823,40.74502273
489,-73.98472473,40.73052257
490,-73.98424807,40.7474439
491,-73.99329255,40.74479336
492,-73.91330643,40.75784515
493,-73.90723376,40.75622376
494,-73.91250525,40.78246762
495,-73.95113407,40.78848771
496,-73.95228873,40.78980292
497,-73.98616772,40.74912119
498,-73.97548256,40.78450737
499,-73.95806183,40.78054992
500,-73.97098862,40.75551638
